STT,MSV,GPA
422,B19DCCN697,2.38
422,B19DCCN144,2.38
429,B19DCCN256,2.37
429,B19DCCN667,2.37
429,B19DCCN335,2.37
432,B19DCCN097,2.35
432,B19DCCN122,2.35
432,B19DCCN400,2.35
435,B19DCCN148,2.34
435,B19DCCN024,2.34
435,B19DCCN050,2.34
435,B19DCCN346,2.34
439,B19DCCN161,2.33
440,B19DCCN095,2.32
440,B19DCCN329,2.32
440,B19DCCN215,2.32
440,B19DCCN564,2.32
440,B19DCCN658,2.32
440,B19DCCN360,2.32
446,B19DCCN285,2.31
446,B19DCCN296,2.31
446,B19DCCN619,2.31
449,B19DCCN461,2.3
449,B19DCCN201,2.3
449,B19DCCN130,2.3
449,B19DCCN127,2.3
449,B19DCCN504,2.3
449,B19DCCN309,2.3
449,B19DCCN291,2.3
449,B19DCCN166,2.3
449,B19DCCN156,2.3
449,B19DCCN363,2.3
459,B19DCCN330,2.29
459,B19DCCN029,2.29
459,B19DCCN177,2.29
459,B19DCCN283,2.29
459,B19DCCN352,2.29
464,B19DCCN485,2.26
465,B19DCCN487,2.25
465,B19DCCN207,2.25
465,B19DCCN068,2.25
465,B19DCCN145,2.25
465,B19DCCN575,2.25
465,B19DCCN554,2.25
465,B19DCCN240,2.25
465,B19DCCN292,2.25
465,B19DCCN493,2.25
474,B19DCCN009,2.24
474,B19DCCN599,2.24
474,B19DCCN721,2.24
474,B19DCCN140,2.24
474,B19DCCN454,2.24
474,B19DCCN614,2.24
480,B19DCCN628,2.22
481,B19DCCN424,2.21
481,B19DCCN602,2.21
483,B19DCCN034,2.2
483,B19DCCN707,2.2
483,B19DCCN708,2.2
483,B19DCCN033,2.2
483,B19DCCN508,2.2
488,B19DCCN065,2.19
489,B19DCCN211,2.17
490,B19DCCN611,2.12
490,B19DCCN546,2.12
490,B19DCCN693,2.12
490,B19DCCN656,2.12
490,B19DCCN578,2.12
490,B19DCCN719,2.12
496,B19DCCN062,2.11
497,B19DCCN691,2.1
497,B19DCCN459,2.1
497,B19DCCN203,2.1
497,B19DCCN585,2.1
497,B19DCCN659,2.1
497,B19DCCN390,2.1
497,B19DCCN337,2.1
497,B19DCCN362,2.1
497,B19DCCN109,2.1
497,B19DCCN635,2.1
497,B19DCCN391,2.1
508,B19DCCN191,2.09
508,B19DCCN138,2.09
510,B19DCCN199,2.08
510,B19DCCN336,2.08
512,B19DCCN086,2.06
512,B19DCCN074,2.06
512,B19DCCN557,2.06
512,B19DCCN654,2.06
516,B19DCCN731,2.05
516,B19DCCN534,2.05
516,B19DCCN028,2.05
516,B19DCCN116,2.05
516,B19DCCN443,2.05
521,B19DCCN293,2.03
521,B19DCCN491,2.03
523,B19DCCN088,2.0
523,B19DCCN606,2.0
523,B19DCCN082,2.0
523,B19DCCN103,2.0
523,B19DCCN419,2.0
523,B19DCCN385,2.0
523,B19DCCN637,2.0
523,B19DCCN012,2.0
523,B19DCCN676,2.0
523,B19DCCN163,2.0
523,B19DCCN167,2.0
523,B19DCCN397,2.0
523,B19DCCN137,2.0
523,B19DCCN155,2.0
523,B19DCCN636,2.0
523,B19DCCN287,2.0
523,B19DCCN018,2.0
523,B19DCCN714,2.0
523,B19DCCN399,2.0
523,B19DCCN070,2.0
523,B19DCCN197,2.0
544,B19DCCN114,1.97
544,B19DCCN590,1.97
546,B19DCCN671,1.96
547,B19DCCN099,1.95
547,B19DCCN305,1.95
547,B19DCCN223,1.95
550,B19DCCN537,1.94
551,B19DCCN294,1.91
552,B19DCCN361,1.9
552,B19DCCN706,1.9
554,B19DCCN045,1.88
554,B19DCCN423,1.88
554,B19DCCN662,1.88
557,B19DCCN629,1.87
557,B19DCCN053,1.87
559,B19DCCN558,1.84
559,B19DCCN453,1.84
561,B19DCCN533,1.83
561,B19DCCN141,1.83
563,B19DCCN610,1.82
564,B19DCCN450,1.81
565,B19DCCN343,1.8
565,B19DCCN666,1.8
565,B19DCCN190,1.8
565,B19DCCN354,1.8
565,B19DCCN227,1.8
565,B19DCCN229,1.8
565,B19DCCN653,1.8
572,B19DCCN698,1.79
572,B19DCCN355,1.79
572,B19DCCN718,1.79
572,B19DCCN139,1.79
576,B19DCCN271,1.76
577,B19DCCN589,1.75
577,B19DCCN101,1.75
577,B19DCCN513,1.75
577,B19DCCN367,1.75
577,B19DCCN704,1.75
577,B19DCCN202,1.75
577,B19DCCN410,1.75
577,B19DCCN030,1.75
577,B19DCCN530,1.75
586,B19DCCN105,1.71
587,B19DCCN703,1.7
587,B19DCCN720,1.7
587,B19DCCN403,1.7
590,B19DCCN447,1.68
591,B19DCCN725,1.66
591,B19DCCN102,1.66
593,B19DCCN581,1.62
593,B19DCCN560,1.62
593,B19DCCN584,1.62
593,B19DCCN655,1.62
593,B19DCCN383,1.62
598,B19DCCN041,1.6
598,B19DCCN219,1.6
598,B19DCCN422,1.6
601,B19DCCN597,1.59
602,B19DCCN037,1.57
603,B19DCCN432,1.56
604,B19DCCN715,1.53
605,B19DCCN214,1.5
605,B19DCCN677,1.5
605,B19DCCN552,1.5
605,B19DCCN244,1.5
605,B19DCCN415,1.5
605,B19DCCN079,1.5
605,B19DCCN205,1.5
605,B19DCCN149,1.5
605,B19DCCN007,1.5
614,B19DCCN634,1.4
615,B19DCCN257,1.38
615,B19DCCN672,1.38
615,B19DCCN042,1.38
615,B19DCCN270,1.38
615,B19DCCN518,1.38
620,B19DCCN648,1.33
620,B19DCCN588,1.33
622,B19DCCN349,1.25
622,B19DCCN528,1.25
622,B19DCCN465,1.25
